"iname","icount"
"Ban A Combo","3763"
"Ban A Letter","4283"
"Demand A Letter","2873"
"Flying Pig","1267"
"Limit Vowels","3042"
"Peek At Answers","2186"
"Set A Maximum","1928"
"Set A Minimum","2211"
"Shibboleth","1159"
