"iname","icount"
"A","223"
"B","106"
"C","136"
"D","71"
"E","127"
"F","42"
"G","97"
"H","85"
"I","108"
"J","24"
"K","95"
"L","136"
"M","128"
"N","88"
"O","151"
"P","158"
"Q","2"
"R","143"
"S","148"
"T","119"
"U","146"
"V","78"
"W","97"
"X","37"
"Y","233"
"Z","95"
