"iname","icount"
"10 Players","1"
"11 Players","3"
"16 Players","1"
"19 Players","1"
"3 Players","320"
"4 Players","98"
"5 Players","45"
"6 Players","34"
"7 Players","8"
"8 Players","6"
"9 Players","4"
