"iname","icount"
"^","1"
"<","1"
"0","1"
"1","2"
"2","2"
"3","1"
"4","1"
"5","1"
"6","1"
"A","1228"
"B","119"
"C","171"
"D","88"
"E","951"
"F","49"
"G","44"
"H","54"
"I","234"
"J","15"
"K","36"
"L","55"
"M","106"
"N","52"
"O","384"
"P","114"
"Q","14"
"R","99"
"S","197"
"T","91"
"U","94"
"V","16"
"W","17"
"X","4"
"Y","17"
"Z","23"
