"iname","icount"
"GERMAN SHEPHERD","2"
"GERMANY","6"
"GHANA","1"
"GIANTS","5"
"GIFFANY","1"
"GIMLI","4"
"GIN FIZZ","1"
"GINGER","3"
"GINGERBREAD","1"
"GOAT","1"
"GOLD","5"
"GOLDEN RETRIEVER","2"
"GOLDENROD","1"
"GOLDFINCH","1"
"GOLDUCK","1"
"GOLF","1"
"GOLLUM","5"
"GONG","1"
"GONZO","12"
"GORGONZOLA","2"
"GORO","2"
"GOTHIC","4"
"GOUDA","3"
"GRANNY","1"
"GRANNY SMITH","1"
"GRAPE","1"
"GRAPE NUTS","1"
"GREAT DANE","1"
"GREECE","11"
"GREEN","2"
"GRENDA","1"
"GRIFFIN","6"
"GRUNKLE STAN","3"
"HADES","4"
"HAIL CAESAR","1"
"HALBERD","2"
"HALLOUMI","1"
"HAM","1"
"HAMBURGER","1"
"HANS","2"
"HANSON","1"
"HARDEES","1"
"HARP","2"
"HAUNTER","1"
"HAWKEYE","1"
"HAWTHORN","1"
"HEART","7"
"HEBREW","1"
"HEIMDALL","1"
"HELIUM","1"
"HEPHAESTUS","1"
"HERA","1"
"HERCULES","1"
"HERMES","7"
"HESTIA","1"
"HINDI","1"
"HOCKEY","1"
"HOMOGENIC","1"
"HONEY COMB","1"
"HORSE","4"
"HORUS","6"
"HULK","5"
"HULK HOGAN","3"
"HUNGARY","2"
"HYDROGEN","10"
"HYENA","3"
"ICE CLIMBERS","1"
"ILLUSTRATOR","3"
"IN N OUT","2"
"INCOPY","1"
"INDESIGN","1"
"INDIGO","12"
"INSIDE OUT","2"
"IRELAND","3"
"IRIDIUM","1"
"IRON","1"
"IRON MAN","6"
"IRONMAN","2"
"ISABELLE","1"
"ISILDUR","1"
"ISIS","15"
"ITALIAN","3"
"ITALIAN SAUSAGE","1"
"ITALY","6"
"IVYSAUR","1"
"JACK IN THE BOX","3"
"JACKAL","1"
"JACKFRUIT","2"
"JADE","3"
"JAPANESE","2"
"JAX","3"
"JENGA","3"
"JIGGLYPUFF","1"
"JIMMY","3"
"JIMMYJOHNS","1"
"JOE","1"
"JOHN","5"
"JOHN CENA","2"
"JOHNCENA","1"
"JOHNNY CAGE","1"
"JOHNSON","4"
"JOHNSON]","1"
"JOKER","8"
"JONNY QUEST","1"
"JUBBLIES","1"
"JUDO","1"
"JUGS","2"
"JUNK","1"
"JYNX","1"
"KABAL","1"
"KALE","5"
"KANO","2"
"KATANA","1"
"KATY","3"
"KENYA","1"
"KERMIT","6"
"KFC","5"
"KIDNEYS","2"
"KILLER CROC","1"
"KINTARO","1"
"KIRBY","14"
"KIWI","5"
"KIX","3"
"KNOB","3"
"KNOCKERS","5"
"KOREAN","1"
"KOSOVO","2"
"KRONA","1"
"KRUSTY","6"
"KRYPTO","1"
"KUNG LAO","1"
"KURT ANGLE","1"
"LANCE","3"
"LANNISTER","1"
"LANTHANUM","2"
"LAPIS","1"
"LAPIS LAZULI","2"
"LARYNX","1"
"LATVIA","2"
"LEATHER","1"
"LEGOLAS","2"
"LEMON","2"
"LEN","1"
"LEO","2"
"LESOTHO","2"
"LETTUCE","9"
"LIFE","2"
"LIGHTNING","1"
"LIGHTROOM","2"
"LIME","1"
"LINDA","1"
"LINEN","3"
"LINK","4"
"LION","6"
"LIONS","1"
"LITHIUM","1"
